,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
5662,1584,10.98,Leroy FRANCIS,,JAM,3sf2,Kingston (JAM),15 MAR 2013
5663,1584,10.98,Michael CAMPBELL,29 NOV 1996,JAM,3sf2,Kingston (JAM),15 MAR 2013
5664,1584,10.98,Jacob WRIGHT,1995,USA,2f1,"Lynchburg, VA (USA)",30 MAR 2013
5665,1584,10.98,Kyle WILSON,,USA,2h2,"Tampa, FL (USA)",02 APR 2013
5666,1584,10.98,Mike TILLMAN,,USA,1h7,"Gainesville, FL (USA)",04 APR 2013
5667,1584,10.98,Scott CLARKE,01 SEP 1994,BER,8f1,"Berkeley, CA (USA)",06 APR 2013
5668,1584,10.98,Emanuel OGWO,1996,USA,3h3,"Mesquite, TX (USA)",12 APR 2013
5669,1584,10.98,Casey EVANS,04 MAR 1994,USA,6,"Charlotte, NC (USA)",13 APR 2013
5670,1584,10.98,Deandre DOUGLAS,,USA,4,"Miramar, FL (USA)",17 APR 2013
5671,1584,10.98,Alexander MYRES,,USA,7,"Beaumont, TX (USA)",18 APR 2013
5672,1584,10.98,Yuran DOS SANTOS,,USA,5,"Austin, TX (USA)",18 APR 2013
5673,1584,10.98,Justin HUNTER,08 DEC 1995,USA,3f4,"Mission Viejo, CA (USA)",20 APR 2013
5674,1584,10.98,Eric WHIPPLE,,USA,6,"Southwest Ranches, FL (USA)",24 APR 2013
5675,1584,10.98,Chedlin SAGESSE,,USA,4,"Boca Raton, FL (USA)",25 APR 2013
5676,,,,,,,,
5677,1584,10.98,Jawill DAVIS,,USA,2,"Miami, FL (USA)",25 APR 2013
5678,1584,10.98,Jonathan DOUGLAS,,USA,3f13,"Richmond, VA (USA)",27 APR 2013
5679,1584,10.98,Brylen WILLIAMS,,USA,1h2,"Commerce, TX (USA)",27 APR 2013
5680,1584,10.98,Daniel JONES,,USA,4f1,"New Haven, CT (USA)",28 APR 2013
5681,1584,10.98,Jean-Noel CRETINOIR,28 DEC 1994,FRA,3f1,Antony (FRA),28 APR 2013
5682,1584,10.98,Forrest BARNES,,USA,3,"Pittsburgh, PA (USA)",03 MAY 2013
5683,1584,10.98,Derrius GUICE,,USA,7,"Baton Rouge, LA (USA)",04 MAY 2013
5684,1584,10.98,Nathan WADE,05 APR 1994,GBR,4f2,Cheltenham (GBR),06 MAY 2013
5685,1584,10.98,Constantin SCHMIDT,01 MAR 1996,GER,1,Mörfelden (GER),09 MAY 2013
5686,1584,10.98,Kacper WIĘCŁAW,06 MAY 1996,POL,1f1,Svitavy (CZE),11 MAY 2013
5687,1584,10.98,Rashad JONES,,USA,7h1,"Lake Charles, LA (USA)",11 MAY 2013
5688,1584,10.98,Mattia CESARI,1994,ITA,2f2,Imola (ITA),11 MAY 2013
5689,1584,10.98,Kabian EVANS,,USA,4h2,"Mesa, AZ (USA)",11 MAY 2013
5690,1584,10.98,Smith ELETO,,USA,1,"Pearl, MS (USA)",11 MAY 2013
5691,1584,10.98,Alex GREENE,,USA,6f2,"Pearcy, AR (USA)",11 MAY 2013
5692,1584,10.98,Justin TITGEN,,USA,5h2,"Greensboro, NC (USA)",11 MAY 2013
5693,1584,10.98,Sean VANDEBRAKE,,USA,2,"Reno, NV (USA)",11 MAY 2013
5694,1584,10.98,Trey SAMUEL,,USA,3,"Hopkins, SC (USA)",11 MAY 2013
5695,1584,10.98,Shaquille HODGE,,USA,5h2,"Springfield, MA (USA)",16 MAY 2013
5696,1584,10.98,Jalen WILLIAMS,,USA,11h1,"Lakewood, PA (USA)",17 MAY 2013
5697,1584,10.98,Watson SHAYNE,,USA,12h1,"Lakewood, PA (USA)",17 MAY 2013
5698,1584,10.98,Ian KEYS,,USA,1h1,"Eagle, ID (USA)",18 MAY 2013
5699,1584,10.98,Edrick FLORÉAL JR,23 MAR 1995,CAN,3f3,"Louisville, KY (USA)",18 MAY 2013
5700,1584,10.98,Brandon WRIGHT,,USA,3,St. Louis (USA),18 MAY 2013
5701,1584,10.98,Lauritz LANGNER,1996,GER,1,Gladbeck (GER),18 MAY 2013
5702,1584,10.98,Byron WILLIAMS,,USA,5f1,"Clovis, CA (USA)",21 MAY 2013
5703,1584,10.98,Krasimir STOYCHEV,11 JAN 1995,BUL,3f2,Sofia (BUL),23 MAY 2013
5704,1584,10.98,Vann SHAQ,,USA,3,"Kokomo, IN (USA)",23 MAY 2013
5705,1584,10.98,Nick BRADISH,,USA,4,"Little Chute, WI (USA)",23 MAY 2013
5706,1584,10.98,Matthew FOSTER,,USA,3,"Whitewater, WI (USA)",23 MAY 2013
5707,1584,10.98,Nick RUDE,,USA,1h4,"Charleston, IL (USA)",24 MAY 2013
5708,1584,10.98,Justin WARE,,USA,7,"Murfreesboro, TN (USA)",24 MAY 2013
5709,1584,10.98,André LEAL,28 NOV 1995,POR,2f2,Lisboa (POR),25 MAY 2013
5710,1584,10.98,Dmitriy VAKULCHIK,,USA,5,"Oregon City, OR (USA)",25 MAY 2013
5711,1584,10.98,Tyrone GIBSON,,USA,2h2,"Shippensburg, PA (USA)",25 MAY 2013
5712,1584,10.98,Eric THOMAS,,USA,1h2,"Sioux Falls, SD (USA)",25 MAY 2013
5713,1584,10.98,Luke BEZZINA,07 MAY 1995,MLT,4,"Stade Josy Barthel, Luxembourg (LUX)",28 MAY 2013
5714,1584,10.98,Andre HUSAIN JR.,,USA,4,"Lexington, KY (USA)",01 JUN 2013
5715,1584,10.98,Ryan WILLIAMS,,USA,1,"Providence, RI (USA)",01 JUN 2013
5716,1584,10.98,Matias LINKOAHO,01 JAN 1994,FIN,3f4,Turku (FIN),04 JUN 2013
5717,1584,10.98,Tadas ŠČERBAKOVAS,29 MAY 1995,LTU,1,Šiauliai (LTU),07 JUN 2013
5718,1584,10.98,Eryk HAMPEL,03 DEC 1997,POL,2,Slubice (POL),08 JUN 2013
5719,1584,10.98,Daniel MARUŠTÍK,16 SEP 1994,CZE,2,Domažlice (CZE),08 JUN 2013
5720,1584,10.98,John GERARD,,USA,3f2,"Richmond, VA (USA)",08 JUN 2013
5721,1584,10.98,Thibaut DEGRAEVE,31 JAN 1995,FRA,1,Taverny (FRA),15 JUN 2013
5722,1584,10.98,David KOLÁŘ,27 MAR 1997,CZE,1h2,Jablonec nad Nisou (CZE),22 JUN 2013
5723,1584,10.98,Jakub BURLAK,26 JUN 1996,CZE,2h2,Jablonec nad Nisou (CZE),22 JUN 2013
5724,1584,10.98,Jordan BROWN,30 NOV 1994,USA,2h4,"Durham, NC (USA)",23 JUN 2013
5725,1584,10.98,Jordan YEBARTH,24 AUG 1996,FRA,3,Caen (FRA),29 JUN 2013
5726,1584,10.98,Nejc MOŽINA,03 JUN 1996,SLO,1,Slovenj Gradec (SLO),29 JUN 2013
5727,1584,10.98,Childress CANNON,1998,USA,1,"Ypsilanti, MI (USA)",30 JUN 2013
5728,1584,10.98,Aaron DAVIS,,USA,6,"Ypsilanti, MI (USA)",30 JUN 2013
5729,1584,10.98,Vincent SAUCER,25 AUG 1995,USA,2,"Sparks, NV (USA)",30 JUN 2013
5730,1584,10.98,Gabriel NAVARRO,04 JAN 1995,ESP,3sf1,Castellón (ESP),06 JUL 2013
5731,1584,10.98,Simon BLOK,28 MAY 1994,NED,2h2,Amsterdam (NED),20 JUL 2013
5732,1584,10.98,Iván RODRIGUEZ,12 JAN 1994,ESP,1,Vigo (ESP),20 JUL 2013
5733,1584,10.98,Andrew-Kwabena CARTER,1995,USA,5h8,"Greensboro, NC (USA)",25 JUL 2013
5734,1584,10.98,Soumya DEEP SAHA,1996,IND,1,Thiruvanthapuram (IND),26 JUL 2013
5735,1584,10.98,Loïc GASCH,13 AUG 1994,SUI,2f1,Yverdon-les-Bains (SUI),05 OCT 2013
5736,1660,10.99,Jesus ZEQUERA,18 MAR 1995,MEX,2h1,Ciudad de México (MEX),14 FEB 2013
5737,1660,10.99,Ian THOMAS,1994,TTO,1h8,Port-of-Spain (TTO),02 MAR 2013
5738,1660,10.99,Yann-Olivier DELIN,05 MAY 1994,FRA,1h4,Fort-de-France (FRA),02 MAR 2013
5739,1660,10.99,Henry SMITH,09 APR 1996,AUS,1,Perth (AUS),14 MAR 2013
5740,1660,10.99,Tyreke WILSON,10 JAN 2000,JAM,1sf2,Kingston (JAM),15 MAR 2013
5741,1660,10.99,Darwin COLEBROOK,,USA,2f1,"Fort Lauderdale, FL (USA)",19 MAR 2013
5742,1660,10.99,Kevin GAYTAN,14 JAN 1994,MEX,4h3,Ciudad de México (MEX),22 MAR 2013
5743,1660,10.99,Brett WINNEGAN,1997,USA,4,"Houston, TX (USA)",23 MAR 2013
5744,1660,10.99,Isaiah LANGLEY,,USA,3h2,"Palo Alto, CA (USA)",30 MAR 2013
5745,1660,10.99,Deion REID,,USA,1h3,"Atlanta, GA (USA)",01 APR 2013
5746,1660,10.99,Trey PRESLEY,,USA,2h1,"Gainesville, FL (USA)",04 APR 2013
5747,1660,10.99,Orlando COLEMAN,,USA,6h1,"Tempe, AZ (USA)",04 APR 2013
5748,1660,10.99,Sherman RAYNERS,20 MAR 1998,RSA,3,Pretoria (RSA),05 APR 2013
5749,1660,10.99,Kyle GARNER,,USA,4f3,"Arcadia, CA (USA)",06 APR 2013
5750,1660,10.99,Courtney MILES,,USA,2h2,"Little Elm, TX (USA)",09 APR 2013
5751,1660,10.99,Kwane HAYLE,,USA,1f4,"Lewisburg, PA (USA)",14 APR 2013
5752,1660,10.99,Zeandre FLOYD,,USA,2,"Nashville, TN (USA)",16 APR 2013
5753,1660,10.99,Victor WHARTON,,USA,2,"Nashville, TN (USA)",16 APR 2013
5754,1660,10.99,Kennedy IGBOWKE,,USA,3,"Houston, TX (USA)",18 APR 2013
5755,1660,10.99,Mekendy MEDOR,,USA,2h2,"Belle Glade, FL (USA)",19 APR 2013
5756,1660,10.99,Sergio ALDEA,13 MAR 1994,CHI,1h2,Santiago de Chile (CHI),20 APR 2013
5757,1660,10.99,Sirkeith STANFORD,,USA,3,"Fairburn, GA (USA)",20 APR 2013
5758,1660,10.99,Marcus SMOOTS,,USA,4,"Abilene, TX (USA)",27 APR 2013
5759,1660,10.99,Jordan RANDOLPH,,USA,5,"Abilene, TX (USA)",27 APR 2013
5760,1660,10.99,Mauricio DOS SANTOS,19 JAN 1995,BRA,4h1,Campinas (BRA),28 APR 2013
5761,1660,10.99,Nathaniel HUGGINS,,USA,1h3,"Smiths, AL (USA)",29 APR 2013
5762,1660,10.99,Troy GALLEN,,USA,1,"West Chester, PA (USA)",03 MAY 2013
5763,1660,10.99,Josh GARCIA,,USA,3h2,"Elgin, IL (USA)",03 MAY 2013
5764,1660,10.99,Treyjohn BUTLER,,USA,4,"Rancho Cucamonga, CA (USA)",03 MAY 2013
5765,1660,10.99,Sione PALELEI,,USA,8,"Baton Rouge, LA (USA)",04 MAY 2013
5766,1660,10.99,Darrell NETTLES,,USA,4,"Baton Rouge, LA (USA)",04 MAY 2013
5767,1660,10.99,Lukas BLECHSCHMIDT,1995,GER,1,Kaiserslautern (GER),09 MAY 2013
5768,1660,10.99,Scott PATER,,USA,2h1,"Poway, CA (USA)",10 MAY 2013
5769,1660,10.99,Felix SCHMID-SCHUTTI,30 SEP 1994,AUT,3f3,Südstadt (AUT),11 MAY 2013
5770,1660,10.99,Jelani BRICE-MOORE,,USA,1,"Mesa, AZ (USA)",11 MAY 2013
5771,1660,10.99,Terrance PAYNE,,USA,2,"Mesa, AZ (USA)",11 MAY 2013
5772,1660,10.99,Ben KLETT,,USA,2,"Buffalo Grove, IL (USA)",16 MAY 2013
5773,1660,10.99,Mike REEVES,,USA,2f2,"Rock Island, IL (USA)",17 MAY 2013
5774,1660,10.99,Jesus CASTANEDA,,USA,7,"Lakewood, PA (USA)",18 MAY 2013
5775,1660,10.99,Kyle LEWIS,,USA,3f2,"San Diego, CA (USA)",18 MAY 2013
5776,1660,10.99,Trevon JOHNSON,,USA,2f2,"Louisville, KY (USA)",18 MAY 2013
5777,,,,,,,,
5778,1660,10.99,Matt PRINDLE,,USA,2,"Blue Springs, MO (USA)",18 MAY 2013
5779,1660,10.99,Jessi NOLL,,USA,6,"Provo, UT (USA)",18 MAY 2013
5780,1660,10.99,David STONE,,USA,1h1,"Olney, MD (USA)",18 MAY 2013
5781,1660,10.99,Andy ISABELLA,,USA,2,"Mentor, OH (USA)",24 MAY 2013
5782,1660,10.99,Leigh WATSON,06 OCT 1994,GBR,1,Horspath (GBR),25 MAY 2013
5783,1660,10.99,Jaye WILLIAMS,1997,USA,2,"Hilliard, OH (USA)",25 MAY 2013
5784,1660,10.99,Casey LENFEST,,USA,2,"Hilliard, OH (USA)",25 MAY 2013
5785,1660,10.99,Nate TREIBER,,USA,1h2,"Navarre, OH (USA)",31 MAY 2013
5786,1660,10.99,Kacper CHŁOND,27 MAY 1994,POL,1ce5,Opole (POL),01 JUN 2013
5787,1660,10.99,Daniel PLUGARU,04 MAY 1995,MDA,4,Chisinau (MDA),01 JUN 2013
5788,1660,10.99,Jordhan JOSEPH,1995,TTO,5sf1,Port-of-Spain (TTO),01 JUN 2013
5789,1660,10.99,Erik CHARD,,USA,3h2,"Ada, OH (USA)",01 JUN 2013
5790,1660,10.99,Neil PIPPEN,,USA,8sf2,"Ada, OH (USA)",01 JUN 2013
5791,1660,10.99,Alessandro BROGLIATO,1994,ITA,1f7,Conegliano (ITA),07 JUN 2013
5792,1660,10.99,Tyler BEEHLER,,USA,1h2,St. Paul (USA),07 JUN 2013
5793,1660,10.99,Antonio ZELIĆ,05 JUN 1994,CRO,2f2,Zenica (BIH),12 JUN 2013
5794,1660,10.99,Aleksandr RODIKOV,20 NOV 1995,RUS,1h6,Kazan (RUS),14 JUN 2013
5795,1660,10.99,Urko AZPILICUETA,01 MAR 1994,ESP,3f2,Avilés (ESP),15 JUN 2013
5796,1660,10.99,Jordi ANGUERA,09 JUL 1995,ESP,1,Barcelona (ESP),19 JUN 2013
5797,1660,10.99,William ROTHERFORTH,06 MAY 1996,GBR,3h1,Manchester (GBR),22 JUN 2013
5798,1660,10.99,Josselin COLLET,28 JUN 1996,FRA,2,Lamballe (FRA),22 JUN 2013
5799,1660,10.99,Folorunso JEGEDE,,USA,2,"Lisle, IL (USA)",23 JUN 2013
5800,1660,10.99,Louis UBAKA,23 MAR 1994,GBR,1,Reading (GBR),30 JUN 2013
5801,1660,10.99,Ri JIN,14 JAN 1996,CHN,3h9,Donetsk (UKR),10 JUL 2013
5802,1660,10.99,Tobias CORUCLE,1995,GER,1f2,Köngen (GER),17 JUL 2013
5803,1660,10.99,Axel MARTIN,13 APR 1994,FRA,3ce2,"Stadio Guidobaldi, Rieti (ITA)",20 JUL 2013
5804,1660,10.99,Mantas ŠEŠTOKAS,18 APR 1996,LTU,3h3,Šiauliai (LTU),26 JUL 2013
5805,1660,10.99,Ismail Abdul KARIM,05 OCT 1997,GBR,2f2,"Tooting Bec Athletics Track, London (GBR)",27 JUL 2013
5806,1660,10.99,Norris SPIKE,1996,CAN,2f2,Langley (CAN),09 AUG 2013
5807,1660,10.99,Jordan DORRIAN,17 OCT 1994,GBR,1f2,Abingdon (GBR),10 AUG 2013
5808,1660,10.99,Lonzo WILKINSON,29 APR 1994,SKN,5h1,Medellín (COL),23 AUG 2013
5809,1660,10.99,Sebastián TELLO,20 NOV 1996,CHI,2h2,Santiago de Chile (CHI),12 OCT 2013
5810,1660,10.99,Tom SYMES,19 APR 1994,NZL,5,Auckland (NZL),16 NOV 2013
5811,1734,11.00,Calvin BLIGNAUT,25 APR 1995,RSA,3,Roodepoort (RSA),09 FEB 2013
5812,1734,11.00,Jarrod CHANDLER,1996,AUS,2f5,"Monticello, AR (USA)",07 MAR 2013
5813,1734,11.00,Justin BULLARD,,USA,3f5,"Monticello, AR (USA)",07 MAR 2013
5814,1734,11.00,Floyd PUGH,,USA,4f5,"Monticello, AR (USA)",07 MAR 2013
5815,1734,11.00,Elliott POLYCARPE,,USA,3f1,"Fort Lauderdale, FL (USA)",19 MAR 2013
5816,1734,11.00,Alexis AGUILAR,17 FEB 1996,ARG,1,Buenos Aires (ARG),23 MAR 2013
5817,1734,11.00,Xavier PARNELL,,USA,1f1,"Grand Rapids, MI (USA)",30 MAR 2013
5818,1734,11.00,Justin HUNTER,24 FEB 1994,USA,1h3,"Williamsburg, VA (USA)",05 APR 2013
5819,1734,11.00,Victor BOLDEN,,USA,8,"Arcadia, CA (USA)",06 APR 2013
5820,1734,11.00,Darrion FLOWERS,,USA,3,"Weatherford, TX (USA)",11 APR 2013
5821,1734,11.00,Rhys POWELL,,USA,1f1,"Wichita, KS (USA)",12 APR 2013
5822,1734,11.00,Bryce WILKERSON,,USA,2h2,"Mesquite, TX (USA)",12 APR 2013
5823,1734,11.00,Jamauli STEWART,,USA,5,"Miramar, FL (USA)",17 APR 2013
5824,1734,11.00,Nigel TRIBUNE,,USA,6,"Jacksonville, FL (USA)",18 APR 2013
5825,1734,11.00,Brandon ROBERTS,,USA,4,"Tifton, GA (USA)",18 APR 2013
5826,1734,11.00,Lewis MALEEK,,USA,2h2,"Tifton, GA (USA)",18 APR 2013
5827,1734,11.00,Luke DIXON,1996,AUS,1h1,"Rome, GA (USA)",26 APR 2013
5828,1734,11.00,Malik CYPHERS,,USA,4f3,"Moorpark, CA (USA)",26 APR 2013
5829,1734,11.00,Alex MARTIN,,USA,1h3,"Prospect, IL (USA)",26 APR 2013
5830,1734,11.00,Daniel ZIEGLER,,USA,5,"Gresham, OR (USA)",27 APR 2013
5831,1734,11.00,Gillin STUART,,USA,6,"Gresham, OR (USA)",27 APR 2013
5832,1734,11.00,Michael CLARK,,USA,5f2,"Grovetown, GA (USA)",27 APR 2013
5833,1734,11.00,Tyrone JOHNSON,,USA,1h1,"Abilene, TX (USA)",27 APR 2013
5834,1734,11.00,Derek LORD,,USA,3f1,"Provo, UT (USA)",04 MAY 2013
5835,1734,11.00,Brandon WILKS,,USA,3,"Dayton, OH (USA)",04 MAY 2013
5836,1734,11.00,Daniel TRUEMAN,05 SEP 1995,GBR,5f2,Cheltenham (GBR),06 MAY 2013
5837,1734,11.00,Nehemiah GROSS,,USA,3h1,"Poway, CA (USA)",10 MAY 2013
5838,1734,11.00,Ridge JONES,25 MAR 1994,USA,5,"Las Vegas, NV (USA)",11 MAY 2013
5839,1734,11.00,Alessandro MARCHITTO,1994,ITA,2f2,Rieti (ITA),11 MAY 2013
5840,1734,11.00,Romario MCKENZIE,1995,JAM,3f7,Kingston (JAM),11 MAY 2013
5841,1734,11.00,Sekou JABATEH,,USA,3,"Mesa, AZ (USA)",11 MAY 2013
5842,1734,11.00,Papi WHITE,,USA,1f2,"Yukon, OK (USA)",14 MAY 2013
5843,1734,11.00,Aaron POWELL,08 JAN 1996,FIJ,1,Suva (FIJ),16 MAY 2013
5844,1734,11.00,Troy LEWIS,,USA,3,"Lake Stevens, WA (USA)",17 MAY 2013
5845,1734,11.00,Kendrick FOSTER,,USA,1h1,"Rock Island, IL (USA)",17 MAY 2013
5846,1734,11.00,Keinyi DIXSON,,USA,1h1,"Traverse City, MI (USA)",17 MAY 2013
5847,1734,11.00,T.J. SCHWANNECKE,,USA,5h1,"Traverse City, MI (USA)",17 MAY 2013
5848,1734,11.00,Bolaji OGBULU,,USA,4f3,"Louisville, KY (USA)",18 MAY 2013
5849,1734,11.00,Jonathan DOROGY,,USA,2,"Baldwin City, KS (USA)",18 MAY 2013
5850,1734,11.00,Jared HUMPHREY,,USA,7,"Provo, UT (USA)",18 MAY 2013
5851,1734,11.00,Josh EBIKWO,,USA,2,"Lafayette, LA (USA)",23 MAY 2013
5852,1734,11.00,Austin ROBERTS,,USA,2h1,"Lafayette, LA (USA)",23 MAY 2013
5853,1734,11.00,Carvel DIXON,,USA,1h2,"Charleston, IL (USA)",24 MAY 2013
5854,1734,11.00,Demario LEWIS,,USA,8,"Murfreesboro, TN (USA)",24 MAY 2013
5855,1734,11.00,Jackie GALLOWAY,,USA,2h2,"Baltimore, MD (USA)",25 MAY 2013
5856,1734,11.00,Marcelle PRESTON,23 JUL 1996,USA,1h3,"Baltimore, MD (USA)",25 MAY 2013
5857,1734,11.00,Isaac SWILLIE,,USA,7h1,Mount Tahoma (USA),25 MAY 2013
5858,1734,11.00,Jeremy COOK,,USA,8h1,"Amherst, OH (USA)",31 MAY 2013
5859,1734,11.00,Jon ALKINS,,USA,2,"White Plains, NY (USA)",31 MAY 2013
5860,1734,11.00,Davon TUCKER,,USA,5,"South Plainfield, NJ (USA)",01 JUN 2013
5861,1734,11.00,Octavian Mihail ROMANESCU,20 FEB 1995,ESP,3h1,San Sebastián (ESP),01 JUN 2013
5862,1734,11.00,Paddy COLHOUN,,IRL,2,Tullamore (IRL),01 JUN 2013
5863,1734,11.00,Dorin BOSTAN,19 JAN 1995,MDA,5,Chisinau (MDA),01 JUN 2013
5864,1734,11.00,Kohun EUGENE,07 JAN 1997,ISV,6f1,Road Town (IVB),01 JUN 2013
5865,1734,11.00,Lee MOSES,,USA,2,"Providence, RI (USA)",01 JUN 2013
5866,1734,11.00,Max ORNELAS,1996,USA,2f1,"Denver, CO (USA)",01 JUN 2013
5867,1734,11.00,Konrad ZIÓŁKOWSKI,24 JAN 1996,POL,1,Bydgoszcz (POL),02 JUN 2013
5868,1734,11.00,Dominique IRONS,27 JAN 1995,USA,2f4,"South Plainfield, NJ (USA)",05 JUN 2013
5869,1734,11.00,Nelson MOZAI,,USA,3f2,"Middletown, NY (USA)",08 JUN 2013
5870,1734,11.00,Semaj STREET,,USA,15h1,"Greensboro, NC (USA)",14 JUN 2013
5871,1734,11.00,Yannik SCHOTTENHAMEL,1994,GER,1,Heidelberg (GER),15 JUN 2013
5872,1734,11.00,William KENNEDY,21 OCT 1997,GBR,1,Exeter (GBR),15 JUN 2013
5873,1734,11.00,Cole NORTON,1997,CAN,3h5,Toronto (CAN),15 JUN 2013
5874,1734,11.00,Monquenci JOHNSON,1996,USA,1h6,"Hoschton, GA (USA)",21 JUN 2013
5875,1734,11.00,Gabriele GARGANO,25 SEP 1996,ITA,1f2,Orvieto (ITA),22 JUN 2013
5876,1734,11.00,Dylan BARBIER,21 JUL 1996,FRA,1,Gagny (FRA),29 JUN 2013
5877,1734,11.00,Shane DECKER,1996,CAN,2,Sudbury (CAN),06 JUL 2013
5878,,,,,,,,
5879,98,10.50,Marcus HARRIS,05 MAY 1995,USA,3,"Laramie, WY (USA)",17 MAY 2014
5880,98,10.50,Isaiah KENNEDY,,USA,6,"Walnut, CA (USA)",17 MAY 2014
5881,98,10.50,Kevin JOHNSON,,USA,1,"Delaware, OH (USA)",24 MAY 2014
5882,98,10.50,Nick GRAY,02 JUN 1997,USA,1h1,"Pickerington, OH (USA)",30 MAY 2014
5883,98,10.50,Mohammad Hossein ABAREGHI,05 JAN 1995,IRI,3,Taipei City (TPE),13 JUN 2014
5884,98,10.50,Carlton ANUMNU,24 JUN 1995,USA,4h1,"Eugene, OR (USA)",05 JUL 2014
5885,98,10.50,Isaiah TAYLOR,01 APR 1997,USA,1sf1,"Des Moines, IA (USA)",30 JUL 2014
5886,108,10.51,Jaylen BACON,05 AUG 1996,USA,1,"Columbia, SC (USA)",17 MAY 2014
5887,108,10.51,Jayveon TAYLOR,1995,USA,1,"Carson, CA (USA)",24 MAY 2014
5888,108,10.51,Sydney SIAME,07 OCT 1997,ZAM,1h1,"National Stadium, Gaborone (BOT)",28 MAY 2014
5889,108,10.51,Austin HAMILTON,29 JUL 1997,SWE,4f1,Skara (SWE),06 JUN 2014
5890,108,10.51,Marvin POPOOLA,05 SEP 1995,GBR,2sf1,Bedford (GBR),21 JUN 2014
5891,108,10.51,Keanu PENNERMAN,28 APR 1997,BAH,2,Morelia (MEX),04 JUL 2014
5892,108,10.51,Sebastian SCHÜRMANN,18 FEB 1995,GER,2h2,Mannheim (GER),05 JUL 2014
5893,108,10.51,James Kwabeme TAKYI,08 DEC 1995,GHA,2f2,La Chaux-de-Fonds (SUI),06 JUL 2014
5894,108,10.51,Trae WILLIAMS,05 MAY 1997,AUS,1h4,"Olympic Stadium, Nanjing (CHN)",21 AUG 2014
5895,117,10.52,Leon POWELL,01 SEP 1996,USA,1h3,"Austin, TX (USA)",28 MAR 2014
5896,117,10.52,Andrew MOORE,1995,USA,2,"Stephenville, TX (USA)",26 APR 2014
5897,117,10.52,Silvan WICKI,13 FEB 1995,SUI,2f1,Winterthur (SUI),31 MAY 2014
5898,117,10.52,Stanly DEL CARMEN,20 SEP 1995,DOM,h2,Mayagüez (PUR),06 JUN 2014
5899,117,10.52,Nyheim HINES,12 NOV 1996,USA,3h1,"Greensboro, NC (USA)",14 JUN 2014
5900,117,10.52,Bolade AJOMALE,31 AUG 1995,CAN,1h4,Sainte-Therese (CAN),04 JUL 2014
5901,117,10.52,Ben WILLIAMS,,USA,6f1,Edmonton (CAN),05 JUL 2014
5902,117,10.52,Brian KASINDA,31 DEC 1997,ZAM,1h1,Bulawayo (ZIM),09 DEC 2014
5903,125,10.53,Edward DAVIS,18 JAN 1997,USA,2f2,"New Orleans, LA (USA)",22 MAR 2014
5904,125,10.53,Joshua ATKINSON,,USA,4h2,"Austin, TX (USA)",28 MAR 2014
5905,125,10.53,Reggie GARNER,16 JUN 1996,USA,2f1,"Lancaster, TX (USA)",10 APR 2014
5906,125,10.53,Michael CHEEKS,13 MAR 1995,USA,1f2,"Knoxville, TN (USA)",03 MAY 2014
5907,125,10.53,Chris LEWIS,06 AUG 1995,USA,1,"Baton Rouge, LA (USA)",09 MAY 2014
5908,125,10.53,Jordan CHARLES,29 APR 1995,USA,1h1,"Laramie, WY (USA)",16 MAY 2014
5909,125,10.53,Roberto RIGALI,07 JAN 1995,ITA,3f2,Gavardo (ITA),18 MAY 2014
5910,125,10.53,Ini-Oluwa Victor OYE,,USA,5,"Gulf Shores, AL (USA)",24 MAY 2014
5911,125,10.53,Gawain WILLIAMS,08 OCT 1995,JAM,3f9,Kingston (JAM),31 MAY 2014
5912,125,10.53,Cole HENDERSON,,USA,1,"Charleston, IL (USA)",31 MAY 2014
5913,125,10.53,Simone PETTENATI,17 OCT 1995,ITA,2,Torino (ITA),06 JUN 2014
5914,125,10.53,Dominic DAVIS,08 JAN 1996,USA,1h3,"Clovis, CA (USA)",07 JUN 2014
5915,125,10.53,Brandon BORDEN,,USA,1,"Columbus, OH (USA)",07 JUN 2014
5916,125,10.53,Jan KRAMBERGER,07 FEB 1995,SLO,1f1,Wien (AUT),17 JUN 2014
5917,125,10.53,Molefi MAAT,25 NOV 1995,USA,1sf3,"Des Moines, IA (USA)",30 JUL 2014
5918,125,10.53,Erik HAGBERG,11 APR 1995,SWE,3sf1,Umea (SWE),01 AUG 2014
5919,125,10.53,Jose Eduardo DE ABREU,17 FEB 1995,BRA,5,Sao Bernardo do Campo (BRA),23 AUG 2014
5920,142,10.54,Avery CARTER,,USA,3f1,"Lancaster, TX (USA)",10 APR 2014
5921,142,10.54,Alan GUSMÃO,31 OCT 1995,BRA,1sf3,Sao Bernardo do Campo (BRA),11 APR 2014
5922,142,10.54,Renkeng LIN,06 FEB 1996,CHN,1h12,Zhaoqing (CHN),19 APR 2014
5923,142,10.54,Anthony RHYNE,,USA,1h1,Leto (USA),23 APR 2014
5924,142,10.54,Malcolm BALLARD,,USA,7,"Walnut, CA (USA)",17 MAY 2014
5925,142,10.54,Cravon GILLESPIE,31 JUL 1996,USA,2h3,"Clovis, CA (USA)",07 JUN 2014
5926,142,10.54,Phillipie MOTLEY,,USA,1h2,"Columbus, OH (USA)",07 JUN 2014
5927,142,10.54,Frank ITOYA,16 MAY 1996,ESP,2f2,Salamanca (ESP),12 JUN 2014
5928,142,10.54,Alexis NIEVES,19 MAR 1995,VEN,1,Barquisimeto (VEN),27 JUN 2014
